nm,amplitud
349.954,0.0148307
350.225,0.0136791
350.497,0.0130759
350.768,0.0134324
351.039,0.0127908
351.311,0.0131308
351.582,0.0129506
351.853,0.0128154
352.125,0.0129662
352.396,0.0128895
352.667,0.0126592
352.938,0.0126263
353.21,0.0131198
353.481,0.0126263
353.752,0.013054
354.024,0.0127579
354.295,0.0125604
354.566,0.0125275
354.837,0.0125933
355.109,0.0123959
355.38,0.0125933
355.651,0.0128237
355.923,0.0131198
356.194,0.0133501
356.465,0.0128566
356.737,0.0131527
357.008,0.0169035
357.279,0.0192067
357.55,0.0216744
357.822,0.0438834
358.093,0.0659279
358.364,0.0881698
358.636,0.110412
358.907,0.139168
359.178,0.141932
359.45,0.144367
359.721,0.143347
359.992,0.14384
360.263,0.143807
360.535,0.125251
360.806,0.106463
361.077,0.0874459
361.349,0.0681652
361.62,0.041975
361.891,0.0417118
362.163,0.0412512
362.434,0.0405274
362.705,0.0397706
362.976,0.0392771
363.248,0.0380926
363.519,0.0371055
363.79,0.0358881
364.062,0.0346049
364.333,0.0345391
364.604,0.0350656
364.876,0.0356249
365.147,0.0368094
365.418,0.0398035
365.69,0.0858666
365.961,0.129528
366.232,0.173551
366.503,0.218561
366.775,0.294862
367.046,0.535246
367.317,0.780236
367.589,1.02644
367.86,1.27426
368.131,1.53932
368.402,1.75835
368.674,2.00469
368.945,2.25528
369.216,2.61138
369.488,2.93724
369.759,3.09076
370.03,3.26686
370.302,3.50968
370.573,3.75391
370.844,3.97251
371.115,4.17532
371.387,4.20789
371.658,4.23441
371.929,4.15693
372.201,4.07316
372.472,3.97435
372.743,3.85183
373.015,3.65984
373.286,3.45144
373.557,3.15374
373.828,2.87489
374.1,2.73828
374.371,2.58594
374.642,2.27331
374.914,1.96597
375.185,1.68166
375.456,1.3933
375.728,1.09847
375.999,0.817086
376.27,0.631616
376.541,0.445422
376.813,0.259722
377.084,0.0913942
377.355,0.0806352
377.627,0.0696458
377.898,0.0586236
378.169,0.0478975
378.441,0.0449363
378.712,0.0422383
378.983,0.0390138
379.255,0.0361514
379.526,0.0358552
379.797,0.0351643
380.068,0.0349011
380.34,0.0346379
380.611,0.0346379
380.882,0.0343746
381.154,0.0348353
381.425,0.0342759
381.696,0.0343088
381.967,0.0340785
382.239,0.0337824
382.51,0.0335192
382.781,0.0335521
383.053,0.0335521
383.324,0.0336179
383.595,0.033914
383.867,0.0333876
384.138,0.0333876
384.409,0.0331243
384.68,0.0331243
384.952,0.0331902
385.223,0.0326966
385.494,0.0321702
385.766,0.0314134
386.037,0.030558
386.308,0.0297354
386.58,0.0287483
386.851,0.0275639
387.122,0.0262807
387.393,0.0250304
387.665,0.0237472
387.936,0.0229905
388.207,0.0217402
388.479,0.0209505
388.75,0.019766
389.021,0.0190751
389.293,0.0185487
389.564,0.0184828
389.835,0.0182196
390.106,0.0182196
390.378,0.0182854
390.649,0.0182196
390.92,0.0184499
391.192,0.0187132
391.463,0.0187132
391.734,0.0186145
392.006,0.0188119
392.277,0.0187132
392.548,0.0189435
392.82,0.0189435
393.091,0.0188777
393.362,0.0188777
393.633,0.0189106
393.905,0.0181538
394.176,0.0178906
394.447,0.0177261
394.719,0.0172984
394.99,0.0173971
395.261,0.0174629
395.532,0.0167061
395.804,0.0165087
396.075,0.0157849
396.346,0.0150939
396.618,0.01539
396.889,0.0153571
397.16,0.0148307
397.432,0.0145675
397.703,0.013054
397.974,0.0115405
398.245,0.0108824
398.517,0.010356
398.788,0.00966505
399.059,0.00963215
399.331,0.0088754
399.602,0.00818445
399.873,0.00818445
400.145,0.00792123
400.416,0.00874379
400.687,0.00950054
400.958,0.00999407
401.23,0.00861218
401.501,0.00854637
401.772,0.00857928
402.044,0.00788833
402.315,0.00765801
402.586,0.00696707
402.858,0.00647353
403.129,0.00499293
403.4,0.00347943
403.671,0.00295299
403.943,0.00361104
404.214,0.00367684
404.485,0.00341362
404.757,0.00288719
405.028,0.00236075
405.299,0.0015382
405.571,0.00203173
405.842,0.00268977
406.113,0.00347943
406.385,0.00394006
406.656,0.00318331
406.927,0.00321621
407.198,0.00196593
407.47,0.00196593
407.741,0.00265687
408.012,0.00272268
408.284,0.00275558
408.555,0.00331492
408.826,0.00324911
409.097,0.00272268
409.369,0.00397296
409.64,0.00443359
409.911,0.00515744
410.183,0.00663804
410.454,0.00670385
410.725,0.0074277
410.997,0.00736189
411.268,0.00732899
411.539,0.00660514
411.81,0.00667095
412.082,0.00617741
412.353,0.00617741
412.624,0.00545356
412.896,0.00466391
413.167,0.00469681
413.438,0.00390716
413.71,0.00275558
413.981,0.00272268
414.252,0.00400586
414.523,0.0045652
414.795,0.0045652
415.066,0.00328201
415.337,0.0045323
415.609,0.0045652
415.88,0.00519034
416.151,0.00598
416.423,0.00719738
416.694,0.00723028
416.965,0.00670385
417.236,0.00611161
417.508,0.0060458
417.779,0.00782252
418.05,0.00778962
418.322,0.00778962
418.593,0.00713158
418.864,0.00785543
419.136,0.00788833
419.407,0.00815155
419.678,0.00917152
419.95,0.00920442
420.221,0.00979666
420.492,0.00917152
420.763,0.00864508
421.035,0.00940183
421.306,0.00992827
421.577,0.00920442
421.849,0.00943473
422.12,0.00917152
422.391,0.0088754
422.662,0.00884249
422.934,0.00936893
423.205,0.00966505
423.476,0.0109153
423.748,0.0109153
424.019,0.0109153
424.29,0.0101586
424.562,0.0101915
424.833,0.0102244
425.104,0.010027
425.375,0.0110469
425.647,0.0104547
425.918,0.0102573
426.189,0.00831606
426.461,0.00854637
426.732,0.00729609
427.003,0.00884249
427.275,0.00808574
427.546,0.00683546
427.817,0.00634192
428.088,0.00653934
428.36,0.00528905
428.631,0.00555227
428.902,0.00673675
429.174,0.00624322
429.445,0.00795413
429.716,0.00792123
429.988,0.0089083
430.259,0.0101257
430.53,0.0105863
430.801,0.0100928
431.073,0.0118695
431.344,0.010356
431.615,0.0106521
431.887,0.0106192
432.158,0.010356
432.429,0.0088754
432.701,0.00831606
432.972,0.00782252
433.243,0.00782252
433.514,0.00709867
433.786,0.00683546
434.057,0.00808574
434.328,0.00732899
434.6,0.00762511
434.871,0.00759221
435.142,0.00956634
435.414,0.00982956
435.685,0.0103231
435.956,0.00979666
436.227,0.0102902
436.499,0.0102902
436.77,0.0110469
437.041,0.0118037
437.313,0.0117708
437.584,0.0118037
437.855,0.0113102
438.127,0.0113431
438.398,0.0100928
438.669,0.010685
438.94,0.010685
439.212,0.010685
439.483,0.00946764
439.754,0.00920442
440.026,0.00950054
440.297,0.00950054
440.568,0.00950054
440.84,0.00874379
441.111,0.0100599
441.382,0.0102244
441.654,0.0104547
441.925,0.0107179
442.196,0.0111786
442.467,0.00992827
442.739,0.00989537
443.01,0.0103889
443.281,0.0101586
443.553,0.0109153
443.824,0.0111127
444.095,0.0108824
444.366,0.0106521
444.638,0.0100928
444.909,0.0103231
445.18,0.0120669
445.452,0.0115734
445.723,0.0112444
445.994,0.0114747
446.266,0.0114418
446.537,0.0116721
446.808,0.0120011
447.079,0.0115076
447.351,0.0110798
447.622,0.0116063
447.893,0.0113431
448.165,0.0113102
448.436,0.0112115
448.707,0.0114418
448.979,0.0112773
449.25,0.0110798
449.521,0.0110469
449.792,0.0118695
450.064,0.012363
